stock_company,stock_item,code,market,recommended_date,recommended_price,prev_close,devidend_rate,reference
키움,펌텍코리아,-251970,KOSDAQ 종합,2023.5.26,"20,600","21,150",2.67%,중소형주 포트폴리오
키움,삼영,-3720,KOSPI 종합,2023.5.26,"4,805","4,760",-0.94%,중소형주 포트폴리오
키움,코스텍시스,-355150,KOSDAQ 종합,2023.5.26,"3,485","3,340",-4.16%,중소형주 포트폴리오
신한투자증권,엠로,-58970,KOSDAQ 종합,2023.5.26,"52,000","54,800",5.38%,중소형주
신한투자증권,플리토,-300080,KOSDAQ 종합,2023.5.26,"31,600","33,200",5.06%,중소형주
신한투자증권,엘앤씨바이오,-290650,KOSDAQ 종합,2023.5.26,"33,950","34,200",0.74%,중소형주
신한투자증권,메디톡스,-86900,KOSDAQ 종합,2023.5.26,"230,500","246,000",6.72%,중소형주
KB,현대차,-5380,KOSPI 종합,2023.5.23,"207,500","200,000",-3.61%,대형주
삼성,삼성전자,-5930,KOSPI 종합,2023.5.22,"68,400","71,400",4.39%,추천종목
삼성,이수페타시스,-7660,KOSPI 종합,2023.5.22,"10,340","14,630",41.49%,추천종목
하나증권,효성첨단소재,-298050,KOSPI 종합,2023.5.22,"433,500","446,500",3.00%,중장기 투자유망종목
하나증권,유진기업,-23410,KOSDAQ 종합,2023.5.22,"3,500","3,575",2.14%,중장기 투자유망종목
한국투자,풍산,-103140,KOSPI 종합,2023.5.22,"40,900","39,200",-4.16%,추천종목
KB,LG디스플레이,-34220,KOSPI 종합,2023.5.22,"16,350","15,720",-3.85%,대형주
신한투자증권,한전KPS,-51600,KOSPI 종합,2023.5.17,"36,850","34,000",-7.73%,중소형주
신한투자증권,원익QnC,-74600,KOSDAQ 종합,2023.5.17,"24,400","26,050",6.76%,중소형주
KB,빙그레,-5180,KOSPI 종합,2023.5.16,"45,900","48,500",5.66%,중소형주
삼성,NAVER,-35420,KOSPI 종합,2023.5.15,"213,500","199,500",-6.56%,추천종목
삼성,LG이노텍,-11070,KOSPI 종합,2023.5.15,"281,000","307,000",9.25%,추천종목
하나증권,셀트리온,-68270,KOSPI 종합,2023.5.15,"166,600","171,300",2.82%,중장기 투자유망종목
한국투자,LG이노텍,-11070,KOSPI 종합,2023.5.15,"281,000","307,000",9.25%,추천종목
신한투자증권,에이프로,-262260,KOSDAQ 종합,2023.5.11,"15,490","16,990",9.68%,중소형주
신한투자증권,조이시티,-67000,KOSDAQ 종합,2023.5.10,"4,180","4,175",-0.12%,중소형주
KB,코스텍시스,-355150,KOSDAQ 종합,2023.5.9,"3,325","3,340",0.45%,중소형주
KB,솔루엠,-248070,KOSPI 종합,2023.5.9,"25,650","25,300",-1.36%,중소형주
삼성,셀트리온헬스케어,-91990,KOSDAQ 종합,2023.5.8,"70,700","74,000",4.67%,추천종목
